"restaurant_name","place_id"
"Cinnamon Chessington","ChIJL1sJ7rALdkgRO-vR_xmvP_4"
"Roots","ChIJk9XouGcLdkgRATfXUOjSEtg"
"Yimchai (Kingston)","ChIJP1Y1kusLdkgRfQTx8aP9raA"
"Le Val","ChIJlcY1VOoLdkgRllyt2MI3Fmw"
"Anaaya Sri Lankan & Indian Restaurant","ChIJdzlyEs8LdkgR6KOGZrlKT5A"
"Teddington Tandoori","ChIJqdk8sYELdkgRDcXG7a0rYFI"
"Spice Express indian takeaway","ChIJDwmrvZ4JdkgRMMyul4yyIr8"
"Red Rose of Chessington","ChIJd6uMhmoKdkgRKsA65ZE2gHc"
"Khasturi Indian Takeaway","ChIJ-fXFYTkKdkgRoe-1DiZIlu8"
"Potli","ChIJv59U_0kOdkgRpCbn-AA_fIA"
"Rajah Indian","ChIJOyar3QMJdkgRxEa1lZ__XJE"
"Gazzab","ChIJP1xxaQAPdkgREsyOL2MNz-M"
"Namaaste Kitchen","ChIJA1Nc6uAadkgR102Mip4OeOs"
"Chai Nashta","ChIJJWKBGWALdkgRfaEAqGLrXCU"
"The Biryani Centre","ChIJFZJHMLQJdkgRo7LDbNpGS9M"
"Shilpa","ChIJ02ExpUoOdkgRFTG3d3Hgjy8"
"Lal Akash Restaurant","ChIJUW-GOhMJdkgReLSlw5bCX14"
"Red Rose","ChIJubivZLQLdkgRJDUWpao9ERU"
"The Chillies","ChIJLaRGuRwJdkgRqmxzR8MVRa8"
"Vibes of Hyderabad","ChIJA3jbB5gJdkgRHvEwlHk3kTc"
"Delhi Social","ChIJF_iW-loNdkgRGS5LqmRDYXw"
"Curry Bae","ChIJr7dHUjUNdkgRk2rwt1JRr3I"
"Curry Leaves","ChIJxcM7uRwJdkgRGTfdnL7PXDE"
"Kebir Turkish Kitchen","ChIJ7xMdxCULdkgRSvQGntqs4tA"
"Balti Kitchen","ChIJdSjjBJwFdkgR-gtH7MimEQk"
"The Indian Butler","ChIJOedncDQDdkgR87NALe6UQoE"
"Chennai Dosa - New Malden","ChIJKUnlJw4JdkgRUBs_VgkilK8"
"Jaflong Tandoori","ChIJd2g4AnEMdkgRi4FZ4_3ovtE"
"Zaika Essence of India","ChIJ9S0aP5ALdkgRUKTuTj9Syrc"
"Namaste Village Twickenham","ChIJ-zVNHy4NdkgRsHMZNRLrEBc"
"Twickenham Tandoori","ChIJ7VVgjGEMdkgRagFzynLrLl4"
"Ceylon Village Food (Kiramathu Virunthu)","ChIJuWK_J9wJdkgRiJvVcIBAD-4"
"Panas Indian Dining Twickenham","ChIJ8zfViVoNdkgRS5K3bFVmo6s"
"Haweli Barnes","ChIJpZotB_UOdkgRQNUYcv41_To"
"Chakra","ChIJDxwjt-QPdkgRNKTbCos-HE0"
"Sheesh Mahal","ChIJs2iN4WEMdkgRwJnQGfmXSUQ"
"Nawab to go","ChIJ3T9ZucwLdkgRLohRh8OhJwA"
"Malden Spice","ChIJnen-FEgbdkgRFIQUD0mz2eE"
"Bombay Delight","ChIJlcGxlQ0JdkgRwldjBp3toEk"
"The Momos","ChIJ_yv429EJdkgRjH170vtz1mc"
"Royal Heaven","ChIJG6xqsk0JdkgRADCN1YAGnnE"
"Babuji","ChIJba1iCLsbdkgRFpGiGF-_p8A"
"Blue Junction Bar & Restaurant","ChIJS9ny-ZoIdkgRmKVFJF756hU"
"Elaha Indian Restaurant","ChIJ9YuTjYcIdkgRYbRpYp4GdMs"
"Raka Indian Cuisine","ChIJL2xDhuoIdkgRULiVGz8o0NY"
"The Cricket Lounge - Indian Restaurant & Bar - Sutton","ChIJb0bOsAUJdkgRnPkyq699y-g"
"Tamil Square- Sri Lankan","ChIJv-uUAkIJdkgR0zd15ncf1Sw"
"Biryani Boss","ChIJRbx7nL8JdkgRuDlkc8WQmRg"
"Malabar Feast","ChIJ0e20bNsDdkgRz_uksYcl2G0"
"Star of India Cheam","ChIJ-XDDVyMIdkgRo_wgVMHPUa8"
"Lal Akash Sutton","ChIJ6RYeVyMIdkgRE6stMFJ1BNk"
"Tokri restaurant","ChIJrQLjLGMNdkgR5zJsF5M-XKY"
"Cheam Tandoori Takeaway","ChIJl46h8CIIdkgRB0tmcTTqSXk"
"New Golden Gate","ChIJ2TTiR14IdkgR36AYjowPGx8"
"RENAS","ChIJFQB3o-wLdkgRKGmyo6-j0os"
"Rose Restaurant","ChIJ47oiEsALdkgR48HE6ibFcUI"
"Fusion Spice","ChIJsaw7UDIKdkgRYcibkZSCwlk"
"El Curry Loco","ChIJ5yIbo2gLdkgR7da3B93eTVE"
"Bamanoosh Persian Kitchen","ChIJZXljDV8LdkgRUveMVy-6g44"
"Shahjahan","ChIJn0JdwV8FdkgREuvkOpupxTY"
"Maharani Palace Camden","ChIJUbrgHeAadkgR14cSQDH-gfk"
"Dishoom King's Cross","ChIJqWL6gz0bdkgRL14qKTnAjXQ"
"Khan's of Kensington","ChIJjQcUp0IFdkgRanlqLHrXn9I"
"Shah Tandoori","ChIJz2hENCYbdkgRfG4pnpsiOkw"
